Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),CaCO3 (wt %)
198,1207,A,2,H,2,65,6.95,69.63
198,1207,A,2,H,5,33,11.13,49.314
198,1207,A,3,H,1,66,14.96,76
198,1207,A,3,H,2,126,17.06,55.478
198,1207,A,3,H,4,70,19.5,46.981
198,1207,A,4,H,4,70,29,77.95
198,1207,A,4,H,6,13,31.43,53.978
198,1207,A,5,H,1,72,34.02,49.98
198,1207,A,5,H,3,72,37.02,71.01
198,1207,A,5,H,5,72,40.02,72.75
198,1207,A,6,H,1,68,43.48,72.62
198,1207,A,6,H,3,68,46.48,41.067
198,1207,A,6,H,5,68,49.48,77.15
198,1207,A,7,H,1,8,52.38,55.644
198,1207,A,7,H,3,73,56.03,75.27
198,1207,A,7,H,5,31,58.61,61.27
198,1207,A,8,H,2,95,64.25,79.02
198,1207,A,8,H,4,37,66.67,52.396
198,1207,A,8,H,5,94,68.74,16.16
198,1207,A,9,H,1,48,71.78,68.29
198,1207,A,9,H,1,83,72.13,79.83
198,1207,A,9,H,3,73,75.03,70.48
198,1207,A,10,H,1,16,80.96,44.149
198,1207,A,10,H,1,72,81.52,72.32
198,1207,A,10,H,2,35,82.65,84.62
198,1207,A,11,H,3,23,93.53,46.398
198,1207,A,11,H,5,71,97.01,76.66
198,1207,A,11,H,5,98,97.28,83.09
198,1207,A,12,H,1,93,100.73,78.58
198,1207,A,12,H,6,28,107.58,31.737
198,1207,A,13,H,2,30,111.1,36.319
198,1207,A,13,H,4,44,114.24,52.396
198,1207,A,13,H,6,72,117.52,67.71
198,1207,A,14,H,1,37,119.17,76.95
198,1207,A,14,H,1,107,119.87,46.898
198,1207,A,14,H,4,67,123.97,79.49
198,1207,A,15,H,1,110,129.4,68.61
198,1207,A,15,H,4,72,133.52,87.31
198,1207,A,15,H,6,30,136.1,71.21
198,1207,A,16,H,1,119,138.99,86.43
198,1207,A,16,H,2,23,139.53,72.41
198,1207,A,16,H,4,68,142.98,75.2
198,1207,A,17,H,1,85,148.15,85.84
198,1207,A,17,H,2,95,149.75,74.03
198,1207,A,17,H,2,124,150.04,79.6
198,1207,A,18,H,1,137,158.17,92.49
198,1207,A,18,H,5,90,163.7,65.02
198,1207,A,18,H,6,73,165.03,95.44
198,1207,A,21,X,2,86,184.16,97.29
198,1207,A,21,X,4,88,187.18,98.23
198,1207,A,23,X,1,89,198.79,97.23
198,1207,A,23,X,4,89,203.29,96.95
198,1207,A,23,X,6,89,206.29,97.86
198,1207,A,24,X,2,34,209.44,97.45
198,1207,A,24,X,4,87,212.97,97.31
198,1207,A,24,X,5,46,214.06,96.71
198,1207,B,1,R,2,56,159.06,91.29
198,1207,B,1,R,3,13,160.13,80.09
198,1207,B,1,R,5,63,163.13,80.5
198,1207,B,2,R,5,26,172.86,96.37
198,1207,B,2,R,5,80,173.4,96.38
198,1207,B,3,R,2,50,178.2,96.67
198,1207,B,4,R,2,53,187.83,97.41
198,1207,B,4,R,3,53,189.33,96.71
198,1207,B,5,R,2,74,197.74,96.91
198,1207,B,6,R,1,65,205.75,96.6
198,1207,B,40,R,CC,30,526.8,60.93
198,1207,B,44,R,1,60,565.6,0
198,1207,B,44,R,1,76,565.76,0
198,1207,B,44,R,1,103,566.03,0
198,1207,B,46,R,1,52,584.72,64.2
