Depth CSF-A (m),Porosity (vol%),NGR total counts (cps),Reflectance L*,Reflectance a*,Reflectance b*
0.26,57.0,23.219,43.0,-2.5,10.1
0.26,79.9,20.35,53.4,1.5,1.9
0.26,79.9,20.35,53.4,1.5,1.9
0.37,64.1,23.01,47.9,3.2,6.1
0.38,54.9,24.46,51.3,4.7,8.4
0.38,73.6,23.47,47.2,6.6,13.0
0.38,72.5,22.93,44.5,6.5,22.7
0.38,60.8,43.69,31.1,0.5,7.9
0.38,70.1,15.24,61.0,5.9,11.0
0.46,73.4,16.37,53.7,8.2,11.4
0.46,73.4,16.37,53.7,8.2,11.4
0.54,20.9,20.0,43.43,-1.02,6.76
0.56,70.5,6.072,37.8,0.7,5.9
0.6,71.6,5.808,32.2,1.9,5.6
0.69,68.5,7.644,38.4,2.7,1.1
0.69,65.3,9.151,51.9,4.6,9.4
0.7,61.6,19.6,42.16,0.43,7.18
0.74,72.2,6.771,37.9,0.6,4.6
0.74,81.0,4.608,38.6,1.7,8.3
0.74,69.8,8.898,45.6,3.1,6.3
0.78,57.0,16.172454545454542,40.9,-1.6,6.6
0.8,64.0,26.4,71.64,2.26,15.58
0.8,58.9,21.6,64.9,6.77,29.16
0.8,65.7,19.0,54.33,1.28,8.44
0.8,67.4,16.4,55.79,2.23,13.47
0.8,56.8,21.8,51.16,0.64,8.57
0.81,22.0,18.8,74.45,0.79,7.08
0.81,22.0,18.8,74.45,0.79,7.08
0.89,63.5,27.015,42.9,-0.1,1.8
1.13,64.2,52.26,32.0,4.7,16.0
1.13,64.2,52.26,32.0,4.7,16.0
1.28,67.1,22.0,54.4,2.6,3.0
1.28,67.1,22.0,54.4,2.6,3.0
1.29,54.1,29.712,47.3,-1.3,0.3
1.37,67.9,28.269,42.81,-0.07,2.43
1.45,59.5,30.921,50.4,-1.8,5.2
1.48,59.1,30.921,50.4,-1.8,5.2
1.48,76.4,21.07,51.7,5.7,5.5
1.48,68.6,20.28,52.0,1.2,1.4
1.76,73.8,24.34,44.1,6.5,15.8
1.84,42.8,61.816,45.8,-0.1,-3.3
1.84,42.8,61.816,45.8,-0.1,-3.3
1.87,76.1,19.77,59.3,6.6,4.9
1.88,70.7,21.6,48.6,8.7,13.3
1.88,69.5,22.5,46.4,6.0,13.0
1.88,69.5,22.5,46.4,6.0,13.0
1.88,71.3,18.98,57.4,2.2,-2.6
1.88,70.3,16.87,50.7,7.2,13.8
1.88,64.3,50.21,36.4,1.5,7.9
1.91,56.5,31.05,46.1,-2.3,6.5
1.96,73.6,2.676,46.3,2.2,6.3
2.0,60.7,33.6,46.38,2.45,9.05
2.2,53.9,20.558000000000003,41.1,-1.7,3.9
2.2,66.1,23.04,53.3,4.9,9.6
2.21,55.8,33.408,42.9,-1.5,4.4
2.21,74.6,5.651,44.7,2.4,4.1
2.3,63.6,22.8,58.21,-0.14,9.43
2.3,63.9,19.8,56.86,2.11,13.78
2.3,69.6,23.4,61.8,1.58,12.8
2.3,66.7,26.4,61.51,1.66,11.76
2.3,66.1,19.4,67.66,2.57,15.87
2.3,62.9,29.6,61.6,1.89,12.94
2.3,73.0,35.0,63.84,2.48,16.36
2.54,65.4,32.492,42.85,-0.5,1.97
2.59,51.4,49.966,52.2,-0.1,-1.2
2.62,65.8,51.82,36.4,-0.2,7.2
2.65,71.4,33.463,33.3,2.4,2.2
2.76,58.8,30.484,47.1,-1.9,5.7
2.78,61.0,29.89,48.0,3.2,3.0
2.78,61.0,29.89,48.0,3.2,3.0
2.78,56.8,21.421,44.1,-1.7,7.8
2.78,58.5,30.484,47.1,-1.9,5.7
2.81,78.6,8.017,41.3,1.9,4.8
2.83,72.5,16.615,41.3,1.0,8.4
2.91,70.1,28.46,46.4,5.4,11.1
2.92,51.7,36.112,39.65,0.3,0.17
2.97,68.8,10.991,42.8,0.6,6.5
2.98,78.3,21.49,53.7,3.9,1.4
3.06,57.5,32.276,42.3,-3.0,6.7
3.06,57.5,32.276,42.3,-3.0,6.7
