DEPTH_WMSF,HCGR,HFK,HTHO,HURA,IDPH,IMPH,SFLU,lithology
0.088,1.9945,0.0354,0.4317,0.0501,1950,1950,0.1589,Interbedded sand and mud 
0.2404,3.409,0.0708,0.6778,0.0352,1950,1950,0.1589,Interbedded sand and mud 
0.3928,5.6734,0.1203,1.1137,0.1518,1950,1950,0.1589,Interbedded sand and mud 
0.5452,9.4665,0.2242,1.7213,0.0793,1950,1950,0.1589,Interbedded clay and mud
0.6976,9.9356,0.2286,1.8462,0.4811,1950,1950,0.1589,Interbedded clay and mud
0.85,12.9733,0.3313,2.2184,0.376,1950,1950,0.1589,Interbedded clay and mud
1.0024,12.9535,0.3158,2.3031,0.532,1950,1950,0.1589,Interbedded clay and mud
1.1548,11.1538,0.3151,1.7301,0.6712,1950,1950,0.1589,Interbedded clay and mud
1.3072,9.9204,0.2674,1.614,0.7166,1950,1950,0.1589,Interbedded clay and mud
1.4596,8.178,0.2149,1.3629,0.81,1950,1950,0.1589,Interbedded clay and mud
1.612,9.5363,0.2651,1.5044,1.0301,,1950,0.1589,Interbedded clay and mud
1.7644,10.9225,0.2696,1.9221,1.1843,1950,1950,0.1589,Interbedded clay and mud
1.9168,14.3588,0.3843,2.352,1.2324,1950,1950,0.1589,Interbedded clay and mud
2.0692,14.8309,0.3846,2.5018,0.9771,1950,1950,0.1589,Interbedded sand and mud 
2.2216,13.7748,0.3627,2.2915,0.9247,1950,1950,0.1589,Interbedded clay and mud
2.374,15.95,0.4058,2.736,0.5944,1950,1950,0.1589,Interbedded sand and mud 
2.5264,15.8727,0.3556,3.0052,0.5629,1950,1950,0.1589,Interbedded sand and mud 
2.6788,17.8121,0.3869,3.4434,0.3241,1950,1950,0.1589,Interbedded clay and mud
2.8312,17.5424,0.3729,3.4389,0.1568,1950,1950,0.1589,Interbedded clay and mud
2.9836,18.5327,0.4025,3.5829,0.2396,1950,1950,0.1589,Interbedded clay and mud
3.136,18.9823,0.4616,3.3815,0.1129,1950,1950,0.1589,Interbedded clay and mud
3.2884,23.4801,0.6072,,-0.1518,1950,1950,0.1589,Interbedded clay and mud
3.4408,27.35,0.7324,4.4776,-0.3069,1950,1950,0.1589,Sandy Mud
3.5932,30.8381,0.7947,5.2312,0.0344,1950,1950,0.1589,Sandy Mud
3.7456,34.5336,0.9405,5.5618,0.1447,1950,1950,0.1589,Sandy Mud
